ONA_1:input 1/mode 1/transmission: Re(TE transmission) vs wavelength

wavelength(nm), Re(TE transmission)
1559.63, 0.154604
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154605
1559.63, 0.154606
1559.63, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154606
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.62, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.61, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154607
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.6, 0.154606
1559.59, 0.154606
1559.59, 0.154606
1559.59, 0.154606
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154605
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.59, 0.154604
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154603
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154602
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.154601
1559.58, 0.1546
1559.58, 0.1546
1559.58, 0.1546
1559.57, 0.1546
1559.57, 0.1546
1559.57, 0.1546
1559.57, 0.154599
1559.57, 0.154599
1559.57, 0.154599
1559.57, 0.154599
1559.57, 0.154599
1559.57, 0.154599
1559.57, 0.154598
1559.57, 0.154598
1559.57, 0.154598
1559.57, 0.154598
1559.57, 0.154598
1559.57, 0.154598
1559.57, 0.154597
1559.57, 0.154597
1559.57, 0.154597
1559.57, 0.154597
1559.57, 0.154597
1559.57, 0.154596
1559.57, 0.154596
1559.57, 0.154596
1559.57, 0.154596
1559.57, 0.154596
1559.56, 0.154595
1559.56, 0.154595
1559.56, 0.154595
1559.56, 0.154595
1559.56, 0.154594
1559.56, 0.154594
1559.56, 0.154594
1559.56, 0.154594
1559.56, 0.154594
1559.56, 0.154593
1559.56, 0.154593
1559.56, 0.154593
1559.56, 0.154593
1559.56, 0.154592
1559.56, 0.154592
1559.56, 0.154592
1559.56, 0.154592
1559.56, 0.154592
1559.56, 0.154591
1559.56, 0.154591
1559.56, 0.154591
1559.56, 0.154591
