ONA_1:input 1/mode 1/transmission: Abs(TE transmission) vs wavelength

wavelength(nm), Abs(TE transmission)
1559.73, 0.242478
1559.73, 0.242426
1559.73, 0.242374
1559.73, 0.242322
1559.73, 0.24227
1559.73, 0.242218
1559.73, 0.242166
1559.73, 0.242114
1559.73, 0.242062
1559.73, 0.24201
1559.73, 0.241958
1559.73, 0.241906
1559.73, 0.241854
1559.73, 0.241802
1559.73, 0.24175
1559.73, 0.241698
1559.73, 0.241647
1559.73, 0.241595
1559.73, 0.241543
1559.73, 0.241491
1559.73, 0.24144
1559.72, 0.241388
1559.72, 0.241337
1559.72, 0.241285
1559.72, 0.241234
1559.72, 0.241182
1559.72, 0.241131
1559.72, 0.241079
1559.72, 0.241028
1559.72, 0.240976
1559.72, 0.240925
1559.72, 0.240874
1559.72, 0.240822
1559.72, 0.240771
1559.72, 0.24072
1559.72, 0.240668
1559.72, 0.240617
1559.72, 0.240566
1559.72, 0.240515
1559.72, 0.240464
1559.72, 0.240413
1559.72, 0.240362
1559.72, 0.240311
1559.72, 0.24026
1559.72, 0.240209
1559.71, 0.240158
1559.71, 0.240107
1559.71, 0.240056
1559.71, 0.240005
1559.71, 0.239954
1559.71, 0.239903
1559.71, 0.239853
1559.71, 0.239802
1559.71, 0.239751
1559.71, 0.239701
1559.71, 0.23965
1559.71, 0.239599
1559.71, 0.239549
1559.71, 0.239498
1559.71, 0.239447
1559.71, 0.239397
1559.71, 0.239346
1559.71, 0.239296
1559.71, 0.239246
1559.71, 0.239195
1559.71, 0.239145
1559.71, 0.239094
1559.71, 0.239044
1559.71, 0.238994
1559.71, 0.238943
1559.7, 0.238893
1559.7, 0.238843
1559.7, 0.238793
1559.7, 0.238743
1559.7, 0.238692
1559.7, 0.238642
1559.7, 0.238592
1559.7, 0.238542
1559.7, 0.238492
1559.7, 0.238442
1559.7, 0.238392
1559.7, 0.238342
1559.7, 0.238292
1559.7, 0.238242
1559.7, 0.238193
1559.7, 0.238143
1559.7, 0.238093
1559.7, 0.238043
1559.7, 0.237993
1559.7, 0.237944
1559.7, 0.237894
1559.7, 0.237844
1559.7, 0.237795
1559.7, 0.237745
1559.7, 0.237695
1559.69, 0.237646
1559.69, 0.237596
